,ratings,Bold,Tannic,Sweet,Alcohol content,contain_eggs,contain_milk,Type_dessert,Type_fortified,Type_red,Type_rose,Type_sparkling,Type_white
144,4.2,85,47.8384,8.54873,15,0,0,0,0,1,0,0,0
145,4.2,66.9116,38.9913,15.4453,13.5890593,0,0,0,0,1,0,0,0
146,4.2,85,50.9975,27.6254,17,0,0,0,0,1,0,0,0
147,4.2,67.4028,57.7799,5.59199,14,0,0,0,0,1,0,0,0
148,4.2,85,52.6478,11.9465,16.1,0,0,0,0,1,0,0,0
149,4.2,85,54.4625,6.08684,14.5,0,0,0,0,1,0,0,0
150,4.2,79.7848,55.5955,14.2627,14,0,0,0,0,1,0,0,0
151,4.2,85,39.3305,12.8275,16,0,0,0,0,1,0,0,0
152,4.2,85,24.487,46.5827,15.5,0,0,0,0,1,0,0,0
153,4.2,85,50.482,11.6235,14.5,0,0,0,0,1,0,0,0
154,4.2,76.3334,52.9104,14.0238,14.5,0,0,0,0,1,0,0,0
155,4.2,85,30.2084,30.9775,15.5,0,0,0,0,1,0,0,0
156,4.2,72.6473,45.6967,13.2431,14.2,0,0,0,0,1,0,0,0
157,4.2,63.9503,56.2522,9.09711,14,0,0,0,0,1,0,0,0
158,4.2,72.3415,47.7681,20.8847,15,0,0,0,0,1,0,0,0
159,4.2,82.8893,53.023,12.4791,14.7,0,0,0,0,1,0,0,0
160,4.2,50.6901,25.577,6.77921,13.5890593,0,0,0,0,1,0,0,0
161,4.2,64.3576,31.7413,19.0605,14,0,0,0,0,1,0,0,0
162,4.2,84.0596,49.9861,10.8877,14.5,0,0,0,0,1,0,0,0
163,4.2,65.1301,77.0731,3.94467,14.5,0,0,0,0,1,0,0,0
164,4.2,85,28.2093,32.0877,15.5,0,0,0,0,1,0,0,0
165,4.2,68.6209,53.745,12.5232,15,0,0,0,0,1,0,0,0
166,4.2,67.9772,58.4935,11.0644,15,0,0,0,0,1,0,0,0
167,4.2,85,54.5859,9.67214,15,0,0,0,0,1,0,0,0
168,4.2,85,54.8568,6.21135,14.1,0,0,0,0,1,0,0,0
169,4.2,64.6425,45.602,12.6534,14,0,0,0,0,1,0,0,0
170,4.2,67.9179,61.9328,5.32722,14.7,0,0,0,0,1,0,0,0
171,4.2,45.4623,19.2628,11.0511,14.5,0,0,0,0,1,0,0,0
172,4.2,62.7745,58.9735,15.1546,15.5,0,0,0,0,1,0,0,0
173,4.2,83.8075,37.6985,4.23127,14.5,0,0,0,0,1,0,0,0
174,4.2,85,50.1973,6.27737,13.5890593,0,0,0,0,1,0,0,0
175,4.2,66.3204,54.3967,7.75899,14.5,0,0,0,0,1,0,0,0
176,4.2,52.3456,62.877,9.03696,13.5890593,0,0,0,0,1,0,0,0
177,4.2,79.6077,53.6491,12.5929,14.1,0,0,0,0,1,0,0,0
178,4.2,85,28.1831,30.5108,14.8,0,0,0,0,1,0,0,0
179,4.2,66.2786,53.7413,10.2348,14,0,0,0,0,1,0,0,0
180,4.2,65.1814,48.4554,14.3613,13.5,0,0,0,0,1,0,0,0
181,4.2,83.9276,49.5942,13.7736,15.5,0,0,0,0,1,0,0,0
182,4.2,85,23.4068,48.4292,15,0,0,0,0,1,0,0,0
183,4.2,72.387,48.3866,13.4888,13.5890593,0,0,0,0,1,0,0,0
184,4.2,48.0418,54.4396,2.90217,14.5,0,0,0,0,1,0,0,0
185,4.2,65.7507,52.0107,9.62814,14,0,0,0,0,1,0,0,0
186,4.2,52.3456,62.877,9.03696,14,0,0,0,0,1,0,0,0
187,4.2,85,48.3756,1.59372,14.5,0,0,0,0,1,0,0,0
188,4.2,67.9772,58.4935,11.0644,14.5,0,0,0,0,1,0,0,0
189,4.2,32.2702,32.1085,48.83179461,13.5,0,0,0,0,1,0,0,0
190,4.2,52.0379,41.5244,4.41079,15,0,0,0,0,1,0,0,0
191,4.2,85,48.8961,9.83775,14.6,0,0,0,0,1,0,0,0
192,4.2,74.3808,75.3124,5.75426,14.5,0,0,0,0,1,0,0,0
193,4.2,64.7267,51.9876,12.2312,14.5,0,0,0,0,1,0,0,0
194,4.2,23.0071,19.7331,4.12531,13.5890593,0,0,0,0,1,0,0,0
195,4.2,85,28.1831,30.5108,14.8,0,0,0,0,1,0,0,0
196,4.2,64.4898,55.9605,10.4739,13.5890593,0,0,0,0,1,0,0,0
197,4.2,69.448,53.4236,4.24226,14.1,0,0,0,0,1,0,0,0
198,4.2,85,49.713,5.88839,13.5890593,0,0,0,0,1,0,0,0
199,4.2,85,50.0136,5.82741,14.8,0,0,0,0,1,0,0,0
200,4.2,52.721,48.5547,10.5557,14,0,0,0,0,1,0,0,0
201,4.2,85,31.4117,30.7738,15.6,1,1,0,0,1,0,0,0
202,4.2,65.1397,21.914,39.091,13.5,0,0,0,0,1,0,0,0
203,4.2,64.8697,48.8427,6.6633,13.5,1,0,0,0,1,0,0,0
204,4.2,47.8528,54.7926,6.12142,14.5,0,0,0,0,1,0,0,0
205,4.2,23.1867,19.8648,1.60914,13.6,0,0,0,0,1,0,0,0
206,4.2,69.1288,26.9163,40.2613,16.5,1,1,0,0,1,0,0,0
207,4.2,85,54.6811,2.08841,14.2,0,0,0,0,1,0,0,0
208,4.2,83.9447,50.7505,9.12591,14.5,0,0,0,0,1,0,0,0
209,4.2,46.2685,36.8641,2.37768,13.5890593,0,0,0,0,1,0,0,0
210,4.2,85,45.6795,7.28627,13.5890593,0,0,0,0,1,0,0,0
211,4.2,82.9554,47.9038,7.43299,13.5890593,0,0,0,0,1,0,0,0
212,4.2,85,40.623,4.63921,15,0,0,0,0,1,0,0,0
213,4.2,85,49.3398,4.73323,14.7,0,0,0,0,1,0,0,0
214,4.2,85,62.1209,6.07009,14.5,0,0,0,0,1,0,0,0
215,4.2,66.5106,50.619,4.40228,13.5890593,0,0,0,0,1,0,0,0
216,4.2,66.3052,50.1698,6.75598,14.5,0,0,0,0,1,0,0,0
217,4.2,22.0506,21.1107,2.85558,13.8,0,0,0,0,1,0,0,0
218,4.2,68.6646,21.2725,20.8111,15.2,0,0,0,0,1,0,0,0
219,4.2,67.0442,49.2991,10.7014,14.5,0,0,0,0,1,0,0,0
220,4.2,64.5061,28.7472,18.0403,14.8,0,0,0,0,1,0,0,0
221,4.2,67.5597,37.558,6.49526,15,0,0,0,0,1,0,0,0
222,4.2,82.3718,48.2414,6.95516,14.5,0,0,0,0,1,0,0,0
223,4.2,82.7321,51.9341,15.0096,14.5,0,0,0,0,1,0,0,0
224,4.2,79.5246,42.8487,24.0762,13.5890593,0,0,0,0,1,0,0,0
225,4.2,85,52.5736,8.37039,14.5,0,0,0,0,1,0,0,0
226,4.2,23.0765,21.4274,4.13718,13,0,0,0,0,1,0,0,0
227,4.2,85,55.9639,6.44639,15,0,0,0,0,1,0,0,0
228,4.2,43.0866,18.5555,4.57375,13.5,0,0,0,0,1,0,0,0
229,4.2,85,46.1452,15.8558,14.5,0,0,0,0,1,0,0,0
230,4.2,66.4278,48.2576,3.84416,14.5,0,0,0,0,1,0,0,0
231,4.2,85,56.75,7.31125,14.5,0,0,0,0,1,0,0,0
232,4.2,40.8249,20.5361,4.52643,12.9,0,0,0,0,1,0,0,0
233,4.2,79.111,50.5925,11.8042,14.8,0,0,0,0,1,0,0,0
